State,Total Students,Number_Male,Percent_Male,Number_Female,Percent_Female,Number_American Indian or Alaska Native,"Percent_American Indian or
Alaska Native",Number_Asian,Percent_Asian,Number_Hispanic or Latino of any race,Percent_Hispanic or Latino of any race,Number_Black or African American,Percent_Black or African American,Number_White,Percent_White,Number_Native Hawaiian or Other Pacific Islander,Percent_Native Hawaiian or Other Pacific Islander,Number_Two or more races,Percent_Two or more races,Number_Students With Disabilities Served Under IDEA,Percent_Students With Disabilities Served Under IDEA,Number_Students With Disabilities Served Only Under Section 504,Percent_Students With Disabilities Served Only Under Section 504,Number_English Language Learners,Percent_English Language Learners,Number of Schools,Percent of Schools Reporting,Grade,Academic Year
United States,"92,397.00","57,283.00",0.62,"35,114.00",0.38,"1,499.00",1.60,"2,057.00",2.20,"22,511.00",24.40,"17,865.00",19.30,"44,352.00",48.00,342.00,0.40,"3,771.00",4.10,"20,167.00",21.80,822.00,0.90,"13,332.00",14.40,"25,600.00",100.00,K,2015-2016
Alabama,"2,703.00","1,676.00",0.62,"1,027.00",0.38,28.00,1.00,19.00,0.70,237.00,8.80,661.00,24.50,"1,712.00",63.30,2.00,0.10,44.00,1.60,530.00,19.60,14.00,0.50,204.00,7.50,505.00,100.00,K,2015-2016
Alaska,126.00,72.00,0.57,54.00,0.43,58.00,46.00,2.00,1.60,9.00,7.10,1.00,0.80,47.00,37.30,2.00,1.60,7.00,5.60,35.00,27.80,0.00,0.00,18.00,14.30,61.00,100.00,K,2015-2016
Arizona,"1,452.00",928.00,0.64,524.00,0.36,123.00,8.50,25.00,1.70,616.00,42.40,70.00,4.80,565.00,38.90,6.00,0.40,47.00,3.20,291.00,20.00,5.00,0.30,155.00,10.70,528.00,100.00,K,2015-2016
Arkansas,"1,736.00","1,073.00",0.62,663.00,0.38,12.00,0.70,12.00,0.70,195.00,11.20,409.00,23.60,"1,032.00",59.40,29.00,1.70,47.00,2.70,301.00,17.30,28.00,1.60,115.00,6.60,372.00,100.00,K,2015-2016
California,"7,894.00","4,703.00",0.60,"3,191.00",0.40,57.00,0.70,762.00,9.70,"4,404.00",55.80,387.00,4.90,"1,877.00",23.80,26.00,0.30,381.00,4.80,"1,089.00",13.80,31.00,0.40,"2,856.00",36.20,"2,314.00",100.00,K,2015-2016
Colorado,"1,463.00",941.00,0.64,522.00,0.36,7.00,0.50,24.00,1.60,563.00,38.50,63.00,4.30,755.00,51.60,5.00,0.30,46.00,3.10,333.00,22.80,10.00,0.70,220.00,15.00,617.00,100.00,K,2015-2016
Connecticut,"1,502.00",895.00,0.60,607.00,0.40,5.00,0.30,52.00,3.50,630.00,41.90,280.00,18.60,476.00,31.70,3.00,0.20,56.00,3.70,297.00,19.80,22.00,1.50,279.00,18.60,383.00,100.00,K,2015-2016
Delaware,191.00,109.00,0.57,82.00,0.43,0.00,0.00,1.00,0.50,55.00,28.80,61.00,31.90,68.00,35.60,0.00,0.00,6.00,3.10,41.00,21.50,1.00,0.50,54.00,28.30,59.00,100.00,K,2015-2016
District of Columbia,85.00,57.00,0.67,28.00,0.33,0.00,0.00,2.00,2.40,14.00,16.50,63.00,74.10,5.00,5.90,0.00,0.00,1.00,1.20,25.00,29.40,1.00,1.20,11.00,12.90,35.00,100.00,K,2015-2016
Florida,"7,281.00","4,553.00",0.63,"2,728.00",0.37,14.00,0.20,55.00,0.80,"2,131.00",29.30,"2,001.00",27.50,"2,740.00",37.60,18.00,0.20,322.00,4.40,"2,042.00",28.00,87.00,1.20,"1,290.00",17.70,"1,479.00",100.00,K,2015-2016
