Category,Subcategory,total_sampled,year,grade,value,value_mean_or_percent,standard_deviation
Digital Media,Internet (hr/day),49006,1976-1979,8,,,
Digital Media,Internet(hr/day),51447,1976-1979,10,,,
Digital Media,Internet(hr/day),20250,1976-1979,12,,,
Digital Media,Internet(hr/day),49006,1980-1984,8,,,
Digital Media,Internet(hr/day),51447,1980-1984,10,,,
Digital Media,Internet(hr/day),20250,1980-1984,12,,,
Digital Media,Internet(hr/day),49006,1985-1989,8,,,
Digital Media,Internet(hr/day),51447,1985-1989,10,,,
Digital Media,Internet(hr/day),20250,1985-1989,12,,,
Digital Media,Internet(hr/day),49006,1990-1994,8,,,
Digital Media,Internet(hr/day),51447,1990-1994,10,,,
Digital Media,Internet(hr/day),20250,1990-1994,12,,,
Digital Media,Internet(hr/day),49006,1995-1999,8,,,
Digital Media,Internet(hr/day),51447,1995-1999,10,,,
Digital Media,Internet(hr/day),20250,1995-1999,12,,,
Digital Media,Internet(hr/day),49006,2000-2004,8,,,
Digital Media,Internet(hr/day),51447,2000-2004,10,,,
Digital Media,Internet(hr/day),20250,2000-2004,12,,,
Digital Media,Internet(hr/day),49006,2005-2009,8,1.04,mean,1.34
Digital Media,Internet(hr/day),51447,2005-2009,10,1.12,mean,1.34
Digital Media,Internet(hr/day),20250,2005-2009,12,1.06,mean,1.32
Digital Media,Internet(hr/day),49006,2010,8,1.08,mean,1.58
Digital Media,Internet(hr/day),51447,2010,10,1.18,mean,1.59
Digital Media,Internet(hr/day),20250,2010,12,1.35,mean,1.66
Digital Media,Internet(hr/day),49006,2011,8,1.12,mean,1.61
Digital Media,Internet(hr/day),51447,2011,10,1.24,mean,1.68
Digital Media,Internet(hr/day),20250,2011,12,1.44,mean,1.76
Digital Media,Internet(hr/day),49006,2012,8,1.15,mean,1.65
Digital Media,Internet(hr/day),51447,2012,10,1.34,mean,1.73
Digital Media,Internet(hr/day),20250,2012,12,1.57,mean,1.88
Digital Media,Internet(hr/day),49006,2013,8,1.42,mean,1.92
Digital Media,Internet(hr/day),51447,2013,10,1.54,mean,1.89
Digital Media,Internet(hr/day),20250,2013,12,1.74,mean,1.93
Digital Media,Internet(hr/day),49006,2014,8,1.5,mean,1.99
Digital Media,Internet(hr/day),51447,2014,10,1.79,mean,2.05
Digital Media,Internet(hr/day),20250,2014,12,1.95,mean,2.01
Digital Media,Internet(hr/day),49006,2015,8,1.66,mean,2.07
Digital Media,Internet(hr/day),51447,2015,10,1.78,mean,2.04
Digital Media,Internet(hr/day),20250,2015,12,2.03,mean,2.09
Digital Media,Internet(hr/day),49006,2016,8,1.66,mean,2.03
Digital Media,Internet(hr/day),51447,2016,10,1.92,mean,2.07
