State,Total Students,Number_Male,Percent_Male,Number_Female,Percent_Female,Number_American Indian or Alaska Native,"Percent_American Indian or
Alaska Native",Number_Asian,Percent_Asian,Number_Hispanic or Latino of any race,Percent_Hispanic or Latino of any race,Number_Black or African American,Percent_Black or African American,Number_White,Percent_White,Number_Native Hawaiian or Other Pacific Islander,Percent_Native Hawaiian or Other Pacific Islander,Number_Two or more races,Percent_Two or more races,Number_Students With Disabilities Served Under IDEA,Percent_Students With Disabilities Served Under IDEA,Number_Students With Disabilities Served Only Under Section 504,Percent_Students With Disabilities Served Only Under Section 504,Number_English Language Learners,Percent_English Language Learners,Number of Schools,Percent of Schools Reporting,Grade,Academic Year
United States,"94,399.00","55,728.00",0.59,"38,671.00",0.41,"1,434.00",1.5,"1,443.00",1.5,"30,733.00",32.6,"24,680.00",26.1,"33,078.00",35.0,258.00,0.3,"2,773.00",2.9,"15,354.00",16.3,"1,838.00",1.9,"17,821.00",18.9,"23,622.00",100.0,1,2013-2014
Alabama,"3,011.00","1,822.00",0.61,"1,189.00",0.39,21.00,0.7,7.00,0.2,232.00,7.7,"1,163.00",38.6,"1,490.00",49.5,4.00,0.1,94.00,3.1,435.00,14.4,8.00,0.3,189.00,6.3,546.00,100.0,1,2013-2014
Alaska,77.00,43.00,0.56,34.00,0.44,32.00,41.6,3.00,3.9,5.00,6.5,6.00,7.8,22.00,28.6,1.00,1.3,8.00,10.4,14.00,18.2,1.00,1.3,35.00,45.5,72.00,100.0,1,2013-2014
Arizona,"1,496.00",875.00,0.58,621.00,0.42,97.00,6.5,11.00,0.7,727.00,48.6,74.00,4.9,545.00,36.4,4.00,0.3,38.00,2.5,210.00,14.0,34.00,2.3,287.00,19.2,506.00,100.0,1,2013-2014
Arkansas,"1,374.00",836.00,0.61,538.00,0.39,11.00,0.8,7.00,0.5,155.00,11.3,347.00,25.3,824.00,60.0,11.00,0.8,19.00,1.4,149.00,10.8,20.00,1.5,93.00,6.8,326.00,100.0,1,2013-2014
California,"7,395.00","4,315.00",0.58,"3,080.00",0.42,57.00,0.8,279.00,3.8,"5,167.00",69.9,536.00,7.2,"1,164.00",15.7,28.00,0.4,164.00,2.2,869.00,11.8,38.00,0.5,"3,074.00",41.6,"2,387.00",100.0,1,2013-2014
Colorado,"1,018.00",596.00,0.59,422.00,0.41,6.00,0.6,14.00,1.4,451.00,44.3,56.00,5.5,460.00,45.2,4.00,0.4,27.00,2.7,187.00,18.4,5.00,0.5,231.00,22.7,501.00,100.0,1,2013-2014
Connecticut,"1,036.00",596.00,0.58,440.00,0.42,5.00,0.5,13.00,1.3,524.00,50.6,230.00,22.2,239.00,23.1,0.00,0.0,25.00,2.4,131.00,12.6,16.00,1.5,229.00,22.1,282.00,100.0,1,2013-2014
Delaware,268.00,155.00,0.58,113.00,0.42,2.00,0.7,0.00,0.0,64.00,23.9,94.00,35.1,100.00,37.3,1.00,0.4,7.00,2.6,61.00,22.8,5.00,1.9,58.00,21.6,74.00,100.0,1,2013-2014
District of Columbia,91.00,54.00,0.59,37.00,0.41,0.00,0.0,1.00,1.1,12.00,13.2,73.00,80.2,3.00,3.3,0.00,0.0,2.00,2.2,22.00,24.2,0.00,0.0,13.00,14.3,43.00,100.0,1,2013-2014
Florida,"8,215.00","4,923.00",0.6,"3,292.00",0.4,21.00,0.3,44.00,0.5,"2,713.00",33.0,"2,670.00",32.5,"2,518.00",30.7,10.00,0.1,239.00,2.9,"1,851.00",22.5,151.00,1.8,"1,748.00",21.3,"1,354.00",100.0,1,2013-2014
Georgia,"4,998.00","2,874.00",0.58,"2,124.00",0.42,18.00,0.4,112.00,2.2,807.00,16.1,"2,486.00",49.7,"1,426.00",28.5,10.00,0.2,139.00,2.8,722.00,14.4,133.00,2.7,742.00,14.8,983.00,100.0,1,2013-2014
Hawaii,268.00,154.00,0.57,114.00,0.43,3.00,1.1,35.00,13.1,41.00,15.3,7.00,2.6,54.00,20.1,93.00,34.7,35.00,13.1,16.00,6.0,0.00,0.0,42.00,15.7,99.00,100.0,1,2013-2014
Idaho,182.00,115.00,0.63,67.00,0.37,3.00,1.6,0.00,0.0,52.00,28.6,4.00,2.2,115.00,63.2,0.00,0.0,8.00,4.4,24.00,13.2,4.00,2.2,30.00,16.5,99.00,100.0,1,2013-2014
Illinois,"1,082.00",625.00,0.58,457.00,0.42,3.00,0.3,11.00,1.0,221.00,20.4,386.00,35.7,404.00,37.3,1.00,0.1,56.00,5.2,230.00,21.3,8.00,0.7,149.00,13.8,419.00,100.0,1,2013-2014
Indiana,"2,196.00","1,245.00",0.57,951.00,0.43,5.00,0.2,8.00,0.4,291.00,13.3,462.00,21.0,"1,309.00",59.6,2.00,0.1,119.00,5.4,398.00,18.1,18.00,0.8,191.00,8.7,650.00,100.0,1,2013-2014
Iowa,103.00,64.00,0.62,39.00,0.38,0.00,0.0,3.00,2.9,18.00,17.5,18.00,17.5,56.00,54.4,0.00,0.0,8.00,7.8,29.00,28.2,3.00,2.9,17.00,16.5,76.00,100.0,1,2013-2014
Kansas,201.00,125.00,0.62,76.00,0.38,4.00,2.0,7.00,3.5,51.00,25.4,10.00,5.0,113.00,56.2,0.00,0.0,16.00,8.0,46.00,22.9,2.00,1.0,36.00,17.9,114.00,100.0,1,2013-2014
Kentucky,"2,001.00","1,139.00",0.57,862.00,0.43,2.00,0.1,5.00,0.2,129.00,6.4,107.00,5.3,"1,696.00",84.8,2.00,0.1,60.00,3.0,573.00,28.6,8.00,0.4,93.00,4.6,378.00,100.0,1,2013-2014
Louisiana,"3,247.00","1,900.00",0.59,"1,347.00",0.41,35.00,1.1,10.00,0.3,113.00,3.5,"1,566.00",48.2,"1,450.00",44.7,0.00,0.0,72.00,2.2,449.00,13.8,85.00,2.6,62.00,1.9,578.00,100.0,1,2013-2014
Maine,153.00,91.00,0.59,62.00,0.41,3.00,2.0,0.00,0.0,4.00,2.6,2.00,1.3,140.00,91.5,0.00,0.0,4.00,2.6,43.00,28.1,2.00,1.3,5.00,3.3,78.00,100.0,1,2013-2014
Maryland,834.00,514.00,0.62,320.00,0.38,3.00,0.4,9.00,1.1,194.00,23.3,469.00,56.2,148.00,17.7,0.00,0.0,11.00,1.3,140.00,16.8,19.00,2.3,91.00,10.9,307.00,100.0,1,2013-2014
Massachusetts,"1,367.00",784.00,0.57,583.00,0.43,3.00,0.2,39.00,2.9,562.00,41.1,201.00,14.7,499.00,36.5,1.00,0.1,62.00,4.5,314.00,23.0,51.00,3.7,315.00,23.0,427.00,100.0,1,2013-2014
Michigan,"2,275.00","1,309.00",0.58,966.00,0.42,19.00,0.8,30.00,1.3,274.00,12.0,767.00,33.7,"1,087.00",47.8,2.00,0.1,95.00,4.2,394.00,17.3,9.00,0.4,239.00,10.5,734.00,100.0,1,2013-2014
Minnesota,506.00,293.00,0.58,213.00,0.42,15.00,3.0,27.00,5.3,51.00,10.1,90.00,17.8,309.00,61.1,2.00,0.4,12.00,2.4,78.00,15.4,4.00,0.8,74.00,14.6,110.00,100.0,1,2013-2014
Mississippi,"3,414.00","2,050.00",0.6,"1,364.00",0.4,4.00,0.1,13.00,0.4,118.00,3.5,"1,984.00",58.1,"1,274.00",37.3,3.00,0.1,19.00,0.6,409.00,12.0,5.00,0.1,76.00,2.2,371.00,100.0,1,2013-2014
Missouri,"1,043.00",580.00,0.56,463.00,0.44,5.00,0.5,9.00,0.9,106.00,10.2,220.00,21.1,672.00,64.4,2.00,0.2,29.00,2.8,168.00,16.1,12.00,1.2,87.00,8.3,377.00,100.0,1,2013-2014
Montana,80.00,51.00,0.64,29.00,0.36,21.00,26.3,0.00,0.0,0.00,0.0,2.00,2.5,55.00,68.8,0.00,0.0,2.00,2.5,12.00,15.0,0.00,0.0,4.00,5.0,52.00,100.0,1,2013-2014
Nebraska,87.00,63.00,0.72,24.00,0.28,2.00,2.3,3.00,3.4,30.00,34.5,11.00,12.6,38.00,43.7,0.00,0.0,3.00,3.4,24.00,27.6,0.00,0.0,24.00,27.6,61.00,100.0,1,2013-2014
Nevada,"1,027.00",571.00,0.56,456.00,0.44,14.00,1.4,14.00,1.4,545.00,53.1,122.00,11.9,275.00,26.8,8.00,0.8,49.00,4.8,137.00,13.3,10.00,1.0,404.00,39.3,255.00,100.0,1,2013-2014
New Hampshire,182.00,109.00,0.6,73.00,0.4,0.00,0.0,7.00,3.8,18.00,9.9,8.00,4.4,140.00,76.9,1.00,0.5,8.00,4.4,48.00,26.4,5.00,2.7,15.00,8.2,86.00,100.0,1,2013-2014
New Jersey,"1,998.00","1,161.00",0.58,837.00,0.42,0.00,0.0,56.00,2.8,"1,051.00",52.6,486.00,24.3,360.00,18.0,2.00,0.1,43.00,2.2,217.00,10.9,28.00,1.4,447.00,22.4,532.00,100.0,1,2013-2014
New Mexico,627.00,376.00,0.6,251.00,0.4,94.00,15.0,2.00,0.3,393.00,62.7,14.00,2.2,116.00,18.5,1.00,0.2,7.00,1.1,94.00,15.0,5.00,0.8,142.00,22.6,190.00,100.0,1,2013-2014
New York,"5,490.00","3,089.00",0.56,"2,401.00",0.44,60.00,1.1,262.00,4.8,"2,334.00",42.5,"1,659.00",30.2,"1,061.00",19.3,21.00,0.4,93.00,1.7,917.00,16.7,36.00,0.7,"1,152.00",21.0,"1,283.00",100.0,1,2013-2014
North Carolina,"4,454.00","2,670.00",0.6,"1,784.00",0.4,94.00,2.1,50.00,1.1,947.00,21.3,"1,469.00",33.0,"1,698.00",38.1,4.00,0.1,192.00,4.3,758.00,17.0,15.00,0.3,728.00,16.3,"1,052.00",100.0,1,2013-2014
North Dakota,69.00,42.00,0.61,27.00,0.39,13.00,18.8,1.00,1.4,10.00,14.5,6.00,8.7,37.00,53.6,0.00,0.0,2.00,2.9,15.00,21.7,0.00,0.0,7.00,10.1,43.00,100.0,1,2013-2014
Ohio,"2,506.00","1,433.00",0.57,"1,073.00",0.43,5.00,0.2,23.00,0.9,195.00,7.8,775.00,30.9,"1,370.00",54.7,4.00,0.2,134.00,5.3,356.00,14.2,16.00,0.6,143.00,5.7,737.00,100.0,1,2013-2014
Oklahoma,"3,373.00","1,981.00",0.59,"1,392.00",0.41,585.00,17.3,20.00,0.6,683.00,20.2,332.00,9.8,"1,541.00",45.7,10.00,0.3,202.00,6.0,504.00,14.9,24.00,0.7,550.00,16.3,613.00,100.0,1,2013-2014
Oregon,336.00,218.00,0.65,118.00,0.35,8.00,2.4,5.00,1.5,108.00,32.1,11.00,3.3,178.00,53.0,4.00,1.2,22.00,6.5,84.00,25.0,2.00,0.6,78.00,23.2,191.00,100.0,1,2013-2014
Pennsylvania,"1,916.00","1,142.00",0.6,774.00,0.4,4.00,0.2,32.00,1.7,322.00,16.8,663.00,34.6,796.00,41.5,2.00,0.1,99.00,5.2,375.00,19.6,27.00,1.4,100.00,5.2,663.00,100.0,1,2013-2014
Rhode Island,162.00,106.00,0.65,56.00,0.35,2.00,1.2,1.00,0.6,58.00,35.8,21.00,13.0,74.00,45.7,0.00,0.0,6.00,3.7,53.00,32.7,0.00,0.0,27.00,16.7,63.00,100.0,1,2013-2014
South Carolina,"1,855.00","1,135.00",0.61,720.00,0.39,10.00,0.5,4.00,0.2,150.00,8.1,839.00,45.2,778.00,41.9,2.00,0.1,72.00,3.9,424.00,22.9,27.00,1.5,103.00,5.6,420.00,100.0,1,2013-2014
South Dakota,127.00,78.00,0.61,49.00,0.39,31.00,24.4,2.00,1.6,16.00,12.6,11.00,8.7,64.00,50.4,0.00,0.0,3.00,2.4,13.00,10.2,3.00,2.4,16.00,12.6,68.00,100.0,1,2013-2014
Tennessee,"2,402.00","1,404.00",0.58,998.00,0.42,6.00,0.2,11.00,0.5,191.00,8.0,767.00,31.9,"1,384.00",57.6,0.00,0.0,42.00,1.7,299.00,12.4,16.00,0.7,141.00,5.9,609.00,99.2,1,2013-2014
Texas,"15,881.00","9,725.00",0.61,"6,156.00",0.39,75.00,0.5,185.00,1.2,"9,901.00",62.3,"2,448.00",15.4,"3,013.00",19.0,10.00,0.1,249.00,1.6,"2,220.00",14.0,922.00,5.8,"5,051.00",31.8,"3,263.00",100.0,1,2013-2014
Utah,105.00,75.00,0.71,30.00,0.29,1.00,1.0,0.00,0.0,29.00,27.6,3.00,2.9,71.00,67.6,1.00,1.0,0.00,0.0,36.00,34.3,3.00,2.9,15.00,14.3,68.00,100.0,1,2013-2014
Vermont,42.00,26.00,0.62,16.00,0.38,0.00,0.0,2.00,4.8,0.00,0.0,2.00,4.8,36.00,85.7,0.00,0.0,2.00,4.8,11.00,26.2,3.00,7.1,4.00,9.5,32.00,100.0,1,2013-2014
Virginia,"2,279.00","1,323.00",0.58,956.00,0.42,14.00,0.6,43.00,1.9,362.00,15.9,840.00,36.9,905.00,39.7,2.00,0.1,112.00,4.9,452.00,19.8,37.00,1.6,276.00,12.1,677.00,100.0,1,2013-2014
Washington,564.00,301.00,0.53,263.00,0.47,13.00,2.3,17.00,3.0,225.00,39.9,19.00,3.4,257.00,45.6,1.00,0.2,32.00,5.7,130.00,23.0,6.00,1.1,142.00,25.2,323.00,100.0,1,2013-2014
West Virginia,647.00,377.00,0.58,270.00,0.42,0.00,0.0,1.00,0.2,15.00,2.3,32.00,4.9,576.00,89.0,0.00,0.0,23.00,3.6,131.00,20.2,11.00,1.7,7.00,1.1,243.00,100.0,1,2013-2014
Wisconsin,280.00,161.00,0.58,119.00,0.43,7.00,2.5,5.00,1.8,54.00,19.3,112.00,40.0,93.00,33.2,1.00,0.4,8.00,2.9,68.00,24.3,1.00,0.4,34.00,12.1,174.00,100.0,1,2013-2014
Wyoming,59.00,34.00,0.58,25.00,0.42,0.00,0.0,0.00,0.0,14.00,23.7,0.00,0.0,45.00,76.3,0.00,0.0,0.00,0.0,14.00,23.7,0.00,0.0,5.00,8.5,33.00,100.0,1,2013-2014
United States,"140,774.00","86,705.00",0.62,"54,069.00",0.38,"1,650.00",1.2,"3,010.00",2.1,"42,715.00",30.3,"46,921.00",33.3,"42,682.00",30.3,742.00,0.5,"3,054.00",2.2,"24,602.00",17.5,"4,007.00",2.8,"13,029.00",9.3,"8,804.00",100.0,10,2013-2014
