"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","California!!Estimate","California!!Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New York!!Estimate","New York!!Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Washington!!Estimate","Washington!!Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error"
"Total:","5,102,944","±3,839","730,761","±1,602","7,506,036","±5,581","3,053,854","±2,924","39,039,388","±10,487","5,895,126","±4,710","3,639,603","±3,371","1,043,560","±1,497","694,818","±1,928","23,163,294","±10,181","11,061,853","±6,562","1,432,488","±2,062","1,979,218","±2,367","12,587,765","±5,206","6,850,095","±5,329","3,208,494","±3,159","2,936,125","±2,901","4,539,179","±3,303","4,546,134","±4,579","1,395,054","±1,346","6,194,792","±5,302","7,070,467","±4,175","10,044,508","±4,978","5,729,467","±3,505","2,913,148","±2,871","6,181,478","±4,157","1,126,184","±1,561","1,977,971","±2,655","3,235,205","±3,645","1,397,111","±1,901","9,401,301","±6,413","2,109,233","±2,525","19,665,817","±9,775","10,921,083","±5,993","787,926","±1,469","11,759,272","±5,657","4,049,509","±2,759","4,236,108","±3,484","12,953,158","±5,267","1,103,757","±2,022","5,420,109","±5,292","914,745","±1,557","7,151,202","±4,982","30,944,767","±13,637","3,458,792","±3,238","644,261","±803","8,721,999","±5,097","7,877,923","±4,398","1,754,442","±2,196","5,902,903","±3,222","582,041","±1,264","",""
"    1 to 4 years","231,003","±5,415","35,550","±2,149","317,615","±5,622","142,099","±3,588","1,691,279","±10,500","244,096","±5,034","144,430","±3,422","46,431","±1,547","32,066","±1,925","937,705","±10,041","493,518","±7,399","62,399","±2,076","88,194","±2,389","532,724","±5,389","329,354","±5,421","153,082","±4,118","136,537","±3,185","212,332","±4,018","219,892","±5,465","48,551","±1,546","282,545","±5,550","281,292","±4,459","428,937","±5,211","254,911","±4,159","133,795","±4,230","279,017","±4,216","42,906","±1,873","94,027","±2,631","137,475","±3,673","49,789","±2,246","426,201","±6,538","82,333","±3,115","837,636","±9,752","479,956","±7,004","34,958","±1,758","528,210","±6,855","195,361","±3,184","160,928","±4,329","534,920","±5,205","42,874","±2,439","234,612","±5,727","43,660","±2,174","333,657","±6,278","1,605,685","±14,635","184,195","±3,511","22,588","±1,167","382,318","±6,529","338,258","±5,115","70,885","±2,933","244,972","±3,485","22,767","±1,285","",""
"    5 to 17 years","846,445","±4,643","129,276","±1,554","1,191,788","±1,654","521,542","±3,433","6,328,184","±3,894","900,383","±2,986","547,324","±2,207","158,958","±301","90,520","±86","3,345,310","±4,222","1,918,588","±6,000","217,503","±734","356,652","±1,836","2,037,543","±3,423","1,175,194","±4,399","541,294","±3,243","515,610","±2,576","758,686","±4,002","791,039","±3,902","186,170","±1,321","1,017,370","±2,276","1,007,769","±1,673","1,578,867","±2,720","972,229","±2,807","508,305","±4,386","1,023,796","±3,282","176,060","±1,726","358,127","±2,023","517,968","±1,633","186,459","±1,351","1,517,824","±2,052","340,481","±3,248","2,933,468","±2,994","1,744,619","±5,350","134,427","±2,731","1,916,324","±4,015","722,102","±2,152","628,058","±2,940","1,964,476","±2,495","152,111","±1,786","856,505","±3,196","163,951","±2,125","1,166,194","±4,421","5,705,741","±7,398","703,737","±2,253","85,208","±1,258","1,402,516","±4,767","1,233,534","±2,597","261,156","±2,432","930,232","±2,514","96,642","±1,704","",""
"    18 and 19 years","153,743","±5,456","17,513","±1,700","206,812","±3,583","86,234","±4,260","1,071,225","±5,041","152,601","±3,593","101,768","±3,229","27,693","±2,161","19,614","±1,899","545,236","±6,152","307,603","±8,692","30,738","±1,642","57,242","±3,256","326,642","±3,805","191,812","±4,794","95,175","±3,933","86,328","±3,894","121,077","±4,019","122,315","±5,268","34,559","±1,877","154,030","±3,553","212,034","±3,978","261,983","±4,648","152,484","±3,214","89,463","±6,325","156,576","±4,547","29,653","±2,480","55,707","±2,725","72,487","±1,784","39,555","±2,348","222,467","±4,315","55,668","±2,943","507,159","±4,895","299,682","±7,332","25,726","±2,338","305,937","±4,892","117,709","±3,086","102,447","±3,583","372,509","±4,573","35,792","±2,404","155,494","±5,671","25,440","±2,138","174,614","±5,579","882,337","±9,655","111,313","±2,624","20,650","±2,092","244,223","±6,377","184,354","±4,196","45,197","±2,874","153,743","±3,621","16,041","±2,131","",""
"    20 to 24 years","331,692","±6,267","50,498","±2,169","520,068","±4,103","205,309","±5,327","2,572,905","±6,376","393,084","±4,888","240,070","±3,904","63,767","±2,365","51,246","±1,866","1,361,088","±9,275","753,379","±11,413","84,875","±2,246","141,723","±3,943","841,408","±5,201","468,144","±5,497","226,569","±4,327","211,120","±4,785","300,912","±5,270","296,434","±5,816","75,917","±2,276","376,761","±4,434","495,030","±3,779","672,333","±4,773","367,393","±4,834","197,983","±5,660","418,812","±6,179","73,816","±3,140","143,303","±3,162","189,598","±2,546","83,273","±2,955","577,739","±5,048","145,235","±4,795","1,269,486","±5,478","750,306","±9,379","61,599","±3,290","755,491","±6,094","287,093","±4,293","259,722","±4,169","815,898","±6,013","75,910","±2,622","347,622","±7,093","58,398","±2,850","480,179","±6,665","2,174,045","±12,165","306,343","±3,700","41,468","±1,999","580,114","±8,696","490,317","±4,566","108,515","±2,536","401,318","±4,167","37,247","±2,390","",""
"    25 to 29 years","316,960","±5,418","53,084","±2,022","519,901","±3,136","192,786","±4,346","2,706,297","±5,124","446,132","±3,814","229,686","±2,942","59,395","±1,725","73,496","±715","1,391,939","±7,803","741,035","±8,763","89,953","±2,155","128,260","±2,451","846,237","±4,511","454,963","±5,606","204,995","±3,721","195,343","±3,989","293,882","±3,787","279,202","±5,242","80,792","±2,330","382,738","±3,447","492,596","±2,656","651,272","±4,149","361,846","±3,462","177,690","±5,837","399,410","±4,882","69,436","±2,153","128,877","±2,404","222,122","±2,020","81,315","±1,508","591,257","±3,537","132,027","±3,869","1,365,498","±4,133","717,739","±8,131","57,096","±2,810","756,876","±5,066","267,783","±2,441","278,217","±3,682","792,347","±4,059","71,644","±1,210","328,886","±5,781","60,517","±2,398","477,658","±4,289","2,202,143","±10,849","274,392","±3,282","36,062","±1,358","559,887","±5,626","568,122","±3,962","104,282","±2,822","374,339","±3,568","35,539","±2,170","",""
"    30 to 34 years","338,387","±6,155","60,227","±2,516","527,833","±3,005","197,737","±4,588","3,002,440","±5,110","497,299","±4,999","238,518","±2,526","67,753","±1,127","77,820","±253","1,533,094","±7,058","785,173","±7,320","95,753","±1,250","131,061","±2,505","890,856","±4,089","474,739","±5,834","205,103","±3,270","191,382","±3,355","305,546","±3,541","311,808","±6,235","91,293","±2,106","424,852","±3,138","504,160","±2,209","693,385","±3,651","387,308","±2,950","181,437","±4,170","418,223","±4,136","72,892","±1,771","132,526","±3,594","248,902","±2,519","96,133","±2,160","643,723","±3,169","142,969","±4,077","1,434,976","±4,698","764,029","±8,586","57,761","±3,109","805,431","±5,249","274,583","±2,680","306,803","±3,797","873,082","±4,719","79,024","±1,927","359,706","±5,686","56,468","±2,380","515,031","±5,280","2,312,414","±10,628","253,942","±2,462","38,704","±1,025","600,236","±5,633","641,691","±4,086","108,842","±2,204","383,127","±3,796","38,272","±1,465","",""
"    35 to 39 years","330,906","±9,319","58,570","±2,742","494,476","±11,923","201,214","±7,203","2,848,870","±26,242","458,133","±10,834","243,982","±6,437","67,752","±4,398","63,730","±3,422","1,530,902","±24,251","768,432","±14,195","97,383","±4,376","136,116","±6,206","860,154","±12,820","449,243","±10,034","203,963","±6,329","197,118","±5,850","296,214","±8,554","310,392","±9,828","87,739","±4,649","443,637","±11,999","496,754","±8,506","642,059","±10,802","402,071","±7,944","175,077","±8,243","416,457","±8,878","71,757","±3,884","128,735","±4,465","238,676","±7,315","91,265","±4,587","659,856","±12,891","149,860","±7,111","1,368,588","±16,256","735,094","±13,164","58,557","±4,321","781,563","±11,887","281,474","±6,487","314,955","±7,999","851,745","±14,065","74,402","±5,051","348,212","±11,101","61,204","±3,598","473,830","±13,235","2,245,452","±26,068","232,599","±6,438","42,900","±2,775","620,970","±14,362","610,704","±11,035","108,688","±4,553","383,191","±6,636","40,235","±3,034","",""
"    40 to 44 years","327,479","±10,546","49,628","±2,945","486,580","±11,509","204,905","±6,346","2,753,109","±26,154","434,539","±10,286","235,570","±6,262","64,490","±4,090","56,764","±3,382","1,533,570","±23,895","761,545","±13,771","99,781","±4,170","131,234","±5,366","844,820","±13,932","439,852","±10,274","208,504","±5,688","195,743","±6,081","296,018","±7,980","308,217","±10,126","89,227","±4,506","432,858","±12,575","462,408","±9,078","613,119","±9,703","394,824","±8,401","198,628","±8,020","401,321","±8,606","79,662","±3,926","136,555","±5,595","224,852","±7,421","88,154","±4,414","619,578","±13,136","137,495","±6,624","1,250,829","±16,122","720,070","±13,284","51,858","±3,845","746,195","±12,425","273,163","±6,080","302,483","±8,439","853,717","±13,465","74,757","±5,155","354,742","±11,140","58,684","±4,076","471,301","±12,236","2,246,189","±25,478","240,628","±6,044","39,675","±2,998","610,539","±12,932","568,763","±10,589","107,268","±4,720","378,213","±6,528","40,926","±2,959","",""
"    45 to 49 years","304,452","±4,626","43,637","±2,269","433,176","±2,905","182,734","±3,507","2,434,775","±5,061","366,058","±4,394","215,153","±2,006","57,213","±1,321","39,775","±559","1,383,694","±7,740","695,097","±8,532","84,722","±1,399","115,846","±1,895","781,640","±4,422","406,427","±4,791","187,278","±3,007","167,660","±2,969","274,867","±3,845","278,409","±5,479","77,878","±1,101","382,502","±3,388","413,472","±2,651","576,223","±4,048","339,460","±3,025","179,102","±5,248","360,224","±3,692","67,223","±1,932","117,847","±2,418","201,499","±2,167","80,018","±2,203","592,549","±3,039","123,636","±4,055","1,164,557","±4,168","662,917","±7,241","41,757","±2,242","681,549","±4,830","238,750","±3,376","268,436","±2,675","735,396","±4,945","61,656","±1,663","315,876","±6,236","51,705","±1,734","426,149","±4,492","1,960,477","±8,988","221,343","±2,948","39,114","±1,362","542,093","±5,577","484,161","±3,812","106,102","±2,319","347,126","±3,873","34,791","±1,822","",""
