State,Start Grade,End Grade,Start_Year,End_Year,Year,Start_Retention_Count,End_Retention_Count,Derived Cohort Loss Count,Drop_Pct,apportioned_migrants
Alabama,Grade 10,Grade 12,2013-2014,2015-2016,2016,3230.0,1390.0,1840.0,56.9659442724458,20435.295459730776
Alabama,Grade 10,Grade 12,2015-2016,2017-2018,2018,2570.0,1624.0,946.0,36.8093385214008,0.0
Alabama,Grade 8,Grade 10,2013-2014,2015-2016,2016,1153.0,2570.0,0.0,0.0,7294.704540269222
Alabama,Grade 8,Grade 10,2015-2016,2017-2018,2018,938.0,2544.0,0.0,0.0,0.0
Alaska,Grade 10,Grade 12,2013-2014,2015-2016,2016,79.0,825.0,0.0,0.0,2268.3410852713178
Alaska,Grade 10,Grade 12,2015-2016,2017-2018,2018,108.0,785.0,0.0,0.0,0.0
Alaska,Grade 8,Grade 10,2013-2014,2015-2016,2016,50.0,108.0,0.0,0.0,1435.6589147286822
Alaska,Grade 8,Grade 10,2015-2016,2017-2018,2018,26.0,32.0,0.0,0.0,0.0
Arizona,Grade 10,Grade 12,2013-2014,2015-2016,2016,3419.0,4511.0,0.0,0.0,36020.65959648215
Arizona,Grade 10,Grade 12,2015-2016,2017-2018,2018,2674.0,5738.0,0.0,0.0,0.0
Arizona,Grade 8,Grade 10,2013-2014,2015-2016,2016,447.0,2674.0,0.0,0.0,4709.340403517848
Arizona,Grade 8,Grade 10,2015-2016,2017-2018,2018,608.0,1110.0,0.0,0.0,0.0
Arkansas,Grade 10,Grade 12,2013-2014,2015-2016,2016,765.0,475.0,290.0,37.908496732026094,13237.405063291139
Arkansas,Grade 10,Grade 12,2015-2016,2017-2018,2018,750.0,422.0,328.0,43.7333333333333,0.0
Arkansas,Grade 8,Grade 10,2013-2014,2015-2016,2016,183.0,750.0,0.0,0.0,3166.5949367088606
Arkansas,Grade 8,Grade 10,2015-2016,2017-2018,2018,203.0,654.0,0.0,0.0,0.0
California,Grade 10,Grade 12,2013-2014,2015-2016,2016,8489.0,10808.0,0.0,0.0,56515.965879561634
California,Grade 10,Grade 12,2015-2016,2017-2018,2018,6469.0,11985.0,0.0,0.0,0.0
California,Grade 8,Grade 10,2013-2014,2015-2016,2016,362.0,6469.0,0.0,0.0,2410.0341204383685
California,Grade 8,Grade 10,2015-2016,2017-2018,2018,347.0,6769.0,0.0,0.0,0.0
Colorado,Grade 10,Grade 12,2013-2014,2015-2016,2016,1044.0,6549.0,0.0,0.0,23481.79245283019
Colorado,Grade 10,Grade 12,2015-2016,2017-2018,2018,1308.0,5980.0,0.0,0.0,0.0
Colorado,Grade 8,Grade 10,2013-2014,2015-2016,2016,228.0,1308.0,0.0,0.0,5128.207547169812
Colorado,Grade 8,Grade 10,2015-2016,2017-2018,2018,206.0,584.0,0.0,0.0,0.0
